Country,EU27,Agglomeration Name,Nr Inhabitants,Area (km2),Nr of people exposed to different noise bands (Lden),,,,,,,Nr of people exposed to different noise bands (Lnight),,,,,,,DF4_8 Date Released,Data Source,URL
France,EU27,Rennes,444700,705.03,No data ,No data ,500,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Roissy-en-France,349500,340.88,No data ,No data ,100,0,0,0,0,No data ,No data ,100,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Rouen,499600,663.83,No data ,No data ,6200,1900,500,100,0,No data ,No data ,1500,200,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Saint-Etienne,408700,132.7,No data ,No data ,20600,8600,4900,2200,1400,No data ,No data ,6800,4200,1900,700,400,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Sainte-Genevieve-des-Bois,196000,723.5,No data ,No data ,100,100,0,0,0,No data ,No data ,100,200,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Strasbourg,491500,337.61,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Torcy,228900,95.81,No data ,No data ,100,0,0,0,0,No data ,No data ,100,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Toulon,434400,366.41,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Toulouse,760100,458.16,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Tours,299100,389.16,No data ,No data ,300,100,0,0,0,No data ,No data ,100,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Trappes,231100,119.2,No data ,No data ,200,200,0,0,0,No data ,No data ,200,200,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Versailles,269200,123.58,No data ,No data ,200,0,0,0,0,No data ,No data ,200,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Aachen,246443,161,No data ,No data ,2200,800,600,0,0,No data ,No data ,800,300,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Augsburg,297052,147,No data ,No data ,200,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
